player,total_shots,total_xG,total_goals,OverPerformxG,xG Per Shot
Vincent Paté Aboubakar,6,0.5289856239999999,2,1.471014376,0.08816427066666666
Vinícius José Paixão de Oliveira Júnior,9,0.8115265530000001,1,0.1884734469999999,0.09016961700000001
Virgil van Dijk,4,0.977948796,0,-0.977948796,0.244487199
Vitor Machado Ferreira,2,0.053871288999999996,0,-0.053871288999999996,0.026935644499999998
Wahbi Khazri,5,0.297766004,1,0.702233996,0.0595532008
Walid Cheddira,2,0.249388745,0,-0.249388745,0.1246943725
Walker Zimmerman,1,0.05674074,0,-0.05674074,0.05674074
Wataru Endo,6,0.181400907,0,-0.181400907,0.0302334845
Weston McKennie,5,0.37566194999999997,0,-0.37566194999999997,0.07513239
William Silva de Carvalho,1,0.048683427,0,-0.048683427,0.048683427
Woo-Yeong Jeong,1,0.03008143,0,-0.03008143,0.03008143
Woo-Young Jung,1,0.010946972,0,-0.010946972,0.010946972
Wout Weghorst,3,1.050509997,3,1.949490003,0.350169999
Xherdan Shaqiri,4,0.494927794,1,0.505072206,0.1237319485
Yahia Attiyat allah,2,0.331586645,0,-0.331586645,0.1657933225
Yannick Ferreira Carrasco,4,0.202310031,0,-0.202310031,0.05057750775
Yassine Meriah,1,0.046073906,0,-0.046073906,0.046073906
Yeltsin Ignacio Tejeda Valverde,2,0.522077037,1,0.47792296300000003,0.2610385185
Young-Gwon Kim,2,0.689242366,1,0.310757634,0.344621183
Youssef En-Nesyri,11,1.045874203,2,0.9541257970000001,0.09507947299999998
Youssef Msakni,9,0.642520471,0,-0.642520471,0.07139116344444445
Youssouf Fofana,4,0.16560118299999999,0,-0.16560118299999999,0.041400295749999996
Youssouf Sabaly,2,0.0178921875,0,-0.0178921875,0.00894609375
Yuki Soma,3,0.13489698,0,-0.13489698,0.04496566
Yunus Dimoara Musah,4,0.197483729,0,-0.197483729,0.04937093225
Zakaria Aboukhlal,3,0.5970794660000001,1,0.40292053399999994,0.1990264886666667
Álvaro Borja Morata Martín,8,1.109480678,3,1.890519322,0.13868508475
Ángel Fabián Di María Hernández,7,0.53383544,1,0.46616455999999995,0.07626220571428573
Éder Gabriel Militão,5,0.258765465,0,-0.258765465,0.05175309299999999
İlkay Gündoğan,6,1.128953889,1,-0.12895388899999993,0.1881589815
